Ticket	Actual EPS	Bloomberg Estimated EPS	Announcement Date	start_date	end_date
IPGP	1.95	1.665	2017-08-01	2017-02-08	2018-01-23
IQV	0.28	1.051	2017-08-03	2017-02-10	2018-01-25
IR	1.4	1.455	2017-07-26	2017-02-02	2018-01-17
IRM	0.3	0.288	2017-07-28	2017-02-06	2018-01-19
ISRG	0.67	1.928	2017-07-20	2017-01-27	2018-01-10
IT	-1.03	0.851	2017-08-08	2017-02-15	2018-01-30
ITT	0.54	0.628	2017-08-04	2017-02-13	2018-01-26
ITW	1.7	1.636	2017-07-24	2017-01-31	2018-01-12
IVZ	0.58	0.612	2017-07-27	2017-02-03	2018-01-18
JAZZ	1.76	2.755	2017-08-08	2017-02-15	2018-01-30
JBHT	0.89	0.913	2017-07-17	2017-01-24	2018-01-05
JBL	0.11	0.464	2017-03-15	2016-09-21	2017-09-05
JBLU	0.63	0.584	2017-07-25	2017-02-01	2018-01-16
JCI	-0.16	0.494	2017-04-27	2016-11-02	2017-10-17
JEC	0.41	0.718	2017-05-09	2016-11-14	2017-10-27
JKHY	0.76	0.74	2017-02-07	2016-08-16	2017-07-31
JNJ	1.42	1.79	2017-07-18	2017-01-25	2018-01-08
JNPR	0.47	0.542	2017-07-25	2017-02-01	2018-01-16
JPM	1.83	1.583	2017-07-14	2017-01-23	2018-01-04
JWN	0.67	0.566	2016-08-11	2016-02-22	2017-02-02
K	0.81	0.92	2017-08-03	2017-02-10	2018-01-25
KAR	0.42	0.578	2017-08-08	2017-02-15	2018-01-30
KEX	0.48	0.476	2017-07-26	2017-02-02	2018-01-17
KEY	0.37	0.337	2017-07-20	2017-01-27	2018-01-10
KEYS	0.28	0.568	2017-06-06	2016-12-12	2017-11-24
KHC	0.95	0.949	2017-08-03	2017-02-10	2018-01-25
KIM	0.31	0.137	2017-07-26	2017-02-02	2018-01-17
KLAC	1.52	1.404	2017-01-26	2016-08-04	2017-07-19
KMB	1.5	1.491	2017-07-25	2017-02-01	2018-01-16
KMI	0.15	0.147	2017-07-19	2017-01-26	2018-01-09
KMX	0.85	0.881	2016-09-21	2016-04-01	2017-03-15
KNX	0.305555556	0.283	2017-07-24	2017-01-31	2018-01-12
KO	0.32	0.575	2017-07-26	2017-02-02	2018-01-17
KORS	0.97	0.881	2016-11-10	2016-05-23	2017-05-05
KOS	-0.02	-0.022	2017-08-07	2017-02-14	2018-01-29
KR	0.4	0.452	2016-09-09	2016-03-21	2017-03-03
KRC	0.3	0.265	2017-07-26	2017-02-02	2018-01-17
KSS	0.77	1.032	2016-08-11	2016-02-22	2017-02-02
KSU	1.27	1.281	2017-07-21	2017-01-30	2018-01-11
L	0.69	0.763	2017-07-31	2017-02-07	2018-01-22
LAMR	0.94	0.877	2017-08-08	2017-02-15	2018-01-30
LAZ	0.98	0.794	2017-07-27	2017-02-03	2018-01-18
LB	0.88	0.597	2016-08-17	2016-02-26	2017-02-08
LBRDA	-0.02	0.05	2017-08-02	2017-02-09	2018-01-24
LDOS	0.65	0.781	2017-08-03	2017-02-10	2018-01-25
LEA	4.53	4.111	2017-07-26	2017-02-02	2018-01-17
LECO	0.93	0.938	2017-07-25	2017-02-01	2018-01-16
LEG	0.64	0.649	2017-07-27	2017-02-03	2018-01-18
LEN	0.87254902	0.768	2017-06-20	2016-12-27	2017-12-08
LFUS	2.13	2.085	2017-08-02	2017-02-09	2018-01-24
LH	1.8	2.406	2017-07-26	2017-02-02	2018-01-17
LII	2.73	2.759	2017-07-24	2017-01-31	2018-01-12
LKQ	0.49	0.519	2017-07-27	2017-02-03	2018-01-18
LLL	2.59	2.028	2017-07-27	2017-02-03	2018-01-18
LLY	0.96	1.049	2017-07-25	2017-02-01	2018-01-16
LM	0.63	0.825	2016-10-28	2016-05-10	2017-04-24
LMT	3.31	3.108	2017-07-18	2017-01-25	2018-01-08
LNC	1.84	1.748	2017-08-02	2017-02-09	2018-01-24
LNG	-1.23	-0.017	2017-08-08	2017-02-15	2018-01-30
LNT	0.41	0.381	2017-08-03	2017-02-10	2018-01-25
LOGM	0.28	0.931	2017-07-27	2017-02-03	2018-01-18
LOPE	0.85	0.683	2017-08-01	2017-02-08	2018-01-23
LOW	1.32	1.417	2016-08-17	2016-02-26	2017-02-08
LPLA	0.76	0.649	2017-07-27	2017-02-03	2018-01-18
LPT	0.35	0.33	2017-07-25	2017-02-01	2018-01-16
LRCX	2.05	2.196	2017-01-25	2016-08-03	2017-07-18
LSI	0.42	0.557	2017-08-02	2017-02-09	2018-01-24
LSTR	0.89	0.886	2017-07-26	2017-02-02	2018-01-17
LSXMK	0.37	0.4	2017-08-09	2017-02-16	2018-01-31
LULU	0.39	0.38	2016-09-01	2016-03-14	2017-02-24
LUV	1.23	1.196	2017-07-27	2017-02-03	2018-01-18
LVS	0.69	0.59	2017-07-26	2017-02-02	2018-01-17
LYB	2.822943	2.68	2017-07-28	2017-02-06	2018-01-19
LYV	0.31	0.19	2017-08-09	2017-02-16	2018-01-31
M	0.02	0.453	2016-08-11	2016-02-22	2017-02-02
MA	1.1	1.044	2017-07-27	2017-02-03	2018-01-18
MAA	0.42	0.333	2017-07-26	2017-02-02	2018-01-17
MAC	0.19	0.141	2017-08-02	2017-02-09	2018-01-24
MAN	1.74	1.741	2017-07-24	2017-01-31	2018-01-12
MANH	0.45	0.478	2017-07-20	2017-01-27	2018-01-10
MAR	1.29	1.02	2017-08-07	2017-02-14	2018-01-29
MAS	0.51	0.596	2017-07-27	2017-02-03	2018-01-18
MASI	0.87	0.703	2017-08-02	2017-02-09	2018-01-24
MAT	-0.16	-0.093	2017-07-27	2017-02-03	2018-01-18
MCD	1.72	1.617	2017-07-25	2017-02-01	2018-01-16
MCHP	0.16	0.872	2016-11-07	2016-05-18	2017-05-02
MCK	1.36	3.054	2016-10-27	2016-05-09	2017-04-21
MCO	1.63	1.338	2017-07-21	2017-01-30	2018-01-11
MCY	0.93	0.5	2017-07-31	2017-02-07	2018-01-22
MD	0.69	0.872	2017-07-28	2017-02-06	2018-01-19
MDLZ	0.33	0.457	2017-08-02	2017-02-09	2018-01-24
MDT	0.81	1.11	2016-11-22	2016-06-03	2017-05-17
MDU	0.21	0.248	2017-08-01	2017-02-08	2018-01-23
MET	0.81	1.282	2017-08-02	2017-02-09	2018-01-24
MFA	0.2	0.18	2017-08-02	2017-02-09	2018-01-24
MGM	0.36	0.301	2017-07-27	2017-02-03	2018-01-18
MHK	3.51	3.6	2017-07-27	2017-02-03	2018-01-18
MIC	0.32	0.497	2017-08-02	2017-02-09	2018-01-24
MIDD	1.35	1.383	2017-08-09	2017-02-16	2018-01-31
MIK	0.17	0.169	2016-08-25	2016-03-07	2017-02-16
MKC	0.8	0.762	2017-06-29	2017-01-06	2017-12-19
MKL	10.34	6.403	2017-07-26	2017-02-02	2018-01-17
MKSI	2.22	1.406	2017-07-25	2017-02-01	2018-01-16
MKTX	1.03	0.918	2017-07-26	2017-02-02	2018-01-17
MLM	2.26	2.363	2017-08-01	2017-02-08	2018-01-23
MMC	0.98	1.004	2017-07-27	2017-02-03	2018-01-18
MMM	2.65	2.59	2017-07-25	2017-02-01	2018-01-16
MNST	0.39	0.399	2017-08-08	2017-02-15	2018-01-30
MO	1.03	0.859	2017-07-27	2017-02-03	2018-01-18
MOH	-4.1	0.865	2017-08-02	2017-02-09	2018-01-24
MOS	0.28	0.229	2017-08-01	2017-02-08	2018-01-23
MPC	0.94	1.066	2017-07-27	2017-02-03	2018-01-18
MPW	0.21	0.207	2017-08-09	2017-02-16	2018-01-31
MPWR	0.36	0.672	2017-07-26	2017-02-02	2018-01-17
MRK	0.71	0.874	2017-07-28	2017-02-06	2018-01-19
MRO	-0.16	-0.149	2017-08-02	2017-02-09	2018-01-24
MRVL	0.1	0.111	2016-09-06	2016-03-16	2017-02-28
MS	0.89	0.765	2017-07-19	2017-01-26	2018-01-09
MSCI	0.9	0.899	2017-08-03	2017-02-10	2018-01-25
MSFT	0.81	0.786	2017-01-26	2016-08-04	2017-07-19
MSI	0.8	1.037	2017-08-03	2017-02-10	2018-01-25
MSM	0.94	0.897	2017-04-06	2016-10-13	2017-09-27
MTB	2.36	2.271	2017-07-19	2017-01-26	2018-01-09
MTCH	0.2	0.184	2017-08-02	2017-02-09	2018-01-24
MTD	3.94	3.894	2017-07-27	2017-02-03	2018-01-18
MTN	3.72	3.396	2017-03-10	2016-09-16	2017-08-30
MU	0.81	0.864	2017-03-23	2016-09-29	2017-09-13
MUR	-0.1	-0.154	2017-08-02	2017-02-09	2018-01-24
MXIM	0.46	0.433	2017-01-26	2016-08-04	2017-07-19
MYL	0.56	1.158	2017-08-09	2017-02-16	2018-01-31
NATI	0.19	0.257	2017-07-27	2017-02-03	2018-01-18
NAVI	0.4	0.414	2017-07-18	2017-01-25	2018-01-08
NBIX	-0.68	-0.662	2017-08-03	2017-02-10	2018-01-25
NBL	-3.2	-0.131	2017-08-03	2017-02-10	2018-01-25
NBR	-0.46	-0.356	2017-08-02	2017-02-09	2018-01-24
NCLH	0.87	0.971	2017-08-08	2017-02-15	2018-01-30
NCR	0.74	0.756	2017-07-20	2017-01-27	2018-01-10
NDAQ	0.88	0.966	2017-07-26	2017-02-02	2018-01-17
NDSN	1.12	1.306	2017-05-22	2016-11-28	2017-11-09
NEE	1.69	1.756	2017-07-26	2017-02-02	2018-01-17
NEM	0.33	0.261	2017-07-25	2017-02-01	2018-01-16
NEU	5.29	5.73	2017-08-02	2017-02-09	2018-01-24
NFG	1.05	1.048	2017-05-04	2016-11-09	2017-10-24
NFLX	0.15	0.248	2017-07-17	2017-01-24	2018-01-05
NFX	0.49	0.422	2017-08-01	2017-02-08	2018-01-23
NI	-0.14	0.101	2017-08-02	2017-02-09	2018-01-24
NKE	0.51	0.43	2016-12-20	2016-06-30	2017-06-14
NKTR	-0.39	-0.357	2017-08-08	2017-02-15	2018-01-30
NLSN	0.37	0.672	2017-07-27	2017-02-03	2018-01-18
NLY	-0.01	0.293	2017-08-02	2017-02-09	2018-01-24
NNN	0.33	0.348	2017-08-01	2017-02-08	2018-01-23
NOC	3.18	2.858	2017-07-26	2017-02-02	2018-01-17
NOV	-0.2	-0.146	2017-07-27	2017-02-03	2018-01-18
NOW	-0.33	0.199	2017-07-26	2017-02-02	2018-01-17
NRG	-1.98	0.047	2017-08-03	2017-02-10	2018-01-25
NRZ	1.05	0.529	2017-07-31	2017-02-07	2018-01-22
NSC	1.72	1.652	2017-07-26	2017-02-02	2018-01-17
NTAP	0.39	0.543	2016-11-16	2016-05-27	2017-05-11
NTRS	1.12	1.229	2017-07-19	2017-01-26	2018-01-09
NUAN	-0.12	0.381	2017-05-09	2016-11-14	2017-10-27
NUE	1	1.063	2017-07-20	2017-01-27	2018-01-10
NUS	0.79	0.69	2017-08-02	2017-02-09	2018-01-24
NVDA	0.49	0.477	2016-08-11	2016-02-22	2017-02-02
NVR	39.46	29.025	2017-07-21	2017-01-30	2018-01-11
NWL	0.46	0.867	2017-08-04	2017-02-13	2018-01-26
NWS	-0.5	0.184	2017-02-09	2016-08-18	2017-08-02
NWSA	-0.5	0.184	2017-02-09	2016-08-18	2017-08-02
NXPI	0.15	1.511	2017-08-02	2017-02-09	2018-01-24
NYCB	0.22	0.195	2017-07-26	2017-02-02	2018-01-17
O	0.3	0.32	2017-07-26	2017-02-02	2018-01-17
OC	0.86	1.076	2017-07-26	2017-02-02	2018-01-17
ODFL	1.2	1.097	2017-07-27	2017-02-03	2018-01-18
OFC	0.08	0.178	2017-07-27	2017-02-03	2018-01-18
OGE	0.52	0.466	2017-08-03	2017-02-10	2018-01-25
OHI	0.33	0.472	2017-07-26	2017-02-02	2018-01-17
OI	0.86	0.668	2017-07-31	2017-02-07	2018-01-22
OKE	0.34	0.43	2017-08-01	2017-02-08	2018-01-23
OLED	0.99	0.727	2017-08-03	2017-02-10	2018-01-25
OLN	-0.04	0.081	2017-07-31	2017-02-07	2018-01-22
OMC	1.41	1.379	2017-07-20	2017-01-27	2018-01-10
OMF	0.31	0.882	2017-08-02	2017-02-09	2018-01-24
ON	0.22	0.324	2017-08-06	2017-02-13	2018-01-26
ORCL	0.5	0.6	2016-12-15	2016-06-27	2017-06-09
ORI	0.39	0.36	2017-07-27	2017-02-03	2018-01-18
ORLY	3.14	2.891	2017-07-26	2017-02-02	2018-01-17
OSK	0.59	0.742	2017-04-26	2016-11-01	2017-10-16
OUT	0.27	0.225	2017-08-03	2017-02-10	2018-01-25
OXY	0.66	0.089	2017-08-02	2017-02-09	2018-01-24
OZK	0.73	0.73	2017-07-12	2017-01-19	2018-01-02
PACW	0.77	0.708	2017-07-18	2017-01-25	2018-01-08
PAG	1.23	1.207	2017-07-27	2017-02-03	2018-01-18
PAH	-0.21	0.187	2017-08-09	2017-02-16	2018-01-31
PANW	-0.67	0.623	2017-02-28	2016-09-06	2017-08-18
PAYC	0.34	0.202	2017-08-01	2017-02-08	2018-01-23
PAYX	0.56	0.555	2016-12-21	2016-07-01	2017-06-15
PBCT	0.2	0.228	2017-07-20	2017-01-27	2018-01-10
PBF	-1.01	0.016	2017-08-03	2017-02-10	2018-01-25
PCAR	1.06	0.987	2017-07-25	2017-02-01	2018-01-16
PCG	0.79	0.781	2017-07-27	2017-02-03	2018-01-18
PE	0.17	0.103	2017-08-02	2017-02-09	2018-01-24
PEG	0.22	0.582	2017-07-28	2017-02-06	2018-01-19
PEGA	0.05	0.17	2017-08-09	2017-02-16	2018-01-31
PEN	-0.05	-0.026	2017-08-08	2017-02-15	2018-01-30
PEP	1.47	1.397	2017-07-11	2017-01-18	2017-12-29
PFE	0.52	0.657	2017-08-01	2017-02-08	2018-01-23
PFG	1.07	1.224	2017-07-27	2017-02-03	2018-01-18
PFPT	-0.54	0.123	2017-07-27	2017-02-03	2018-01-18
PG	3.01	1.062	2017-01-20	2016-07-29	2017-07-13
PGR	0.63	0.592	2017-07-18	2017-01-25	2018-01-08
PGRE	0.44	-0.006	2017-08-03	2017-02-10	2018-01-25
PH	1.81	1.39	2017-02-02	2016-08-11	2017-07-26
PHM	0.32	0.448	2017-07-25	2017-02-01	2018-01-16
PII	0.99	1.078	2017-07-20	2017-01-27	2018-01-10
PINC	8.095358	0.441	2017-02-06	2016-08-15	2017-07-28
PK	0.52	0.406	2017-08-02	2017-02-09	2018-01-24
PKG	1.52	1.473	2017-07-26	2017-02-02	2018-01-17
PKI	1.86	0.669	2017-08-03	2017-02-10	2018-01-25
PLD	0.5	0.426	2017-07-18	2017-01-25	2018-01-08
PM	1.14	1.228	2017-07-20	2017-01-27	2018-01-10
PNC	2.12	2.016	2017-07-14	2017-01-23	2018-01-04
PNFP	0.81	0.8	2017-07-18	2017-01-25	2018-01-08
PNR	1.45	0.997	2017-07-25	2017-02-01	2018-01-16
PNW	1.5	1.173	2017-08-03	2017-02-10	2018-01-25
PODD	-0.13	-0.127	2017-08-03	2017-02-10	2018-01-25
POOL	2.3	2.239	2017-07-20	2017-01-27	2018-01-10
POST	-0.08	0.579	2017-05-08	2016-11-11	2017-10-26
PPC	0.94	0.833	2017-08-02	2017-02-09	2018-01-24
PPL	0.43	0.495	2017-08-03	2017-02-10	2018-01-25
PRAH	0.47	0.742	2017-08-07	2017-02-14	2018-01-29
PRGO	-0.49	0.922	2017-08-10	2017-02-17	2018-02-01
PRU	1.13	2.703	2017-08-02	2017-02-09	2018-01-24
PSA	1.59	1.8	2017-07-26	2017-02-02	2018-01-17
PSTG	-0.31	-0.232	2016-08-25	2016-03-07	2017-02-16
PSX	1.06	1.009	2017-08-01	2017-02-08	2018-01-23
PTC	-0.01	0.283	2017-04-19	2016-10-25	2017-10-09
PTEN	-0.46	-0.297	2017-07-27	2017-02-03	2018-01-18
PVH	1.12	1.288	2016-08-24	2016-03-04	2017-02-15
PWR	0.41	0.532	2017-08-03	2017-02-10	2018-01-25
PXD	1.36	0.116	2017-08-01	2017-02-08	2018-01-23
PYPL	0.34	0.427	2017-07-26	2017-02-02	2018-01-17
QCOM	0.51	1.185	2017-04-19	2016-10-25	2017-10-09
QGEN	0.06	0.287	2017-07-27	2017-02-03	2018-01-18
QRVO	0.09	1.407	2016-11-03	2016-05-16	2017-04-28
R	0.96	0.95	2017-07-26	2017-02-02	2018-01-17
RBC	1.19	1.281	2017-08-07	2017-02-14	2018-01-29
RCL	1.72	1.666	2017-08-01	2017-02-08	2018-01-23
RE	5.98	5.236	2017-07-24	2017-01-31	2018-01-12
REG	0.28	0.39	2017-08-03	2017-02-10	2018-01-25
REGN	3.66	3.168	2017-08-03	2017-02-10	2018-01-25
RES	0.2	0.13	2017-07-26	2017-02-02	2018-01-17
RF	0.25	0.24	2017-07-21	2017-01-30	2018-01-11
RGA	3.6	2.478	2017-07-27	2017-02-03	2018-01-18
RGLD	0.43	0.355	2017-02-01	2016-08-10	2017-07-25
RHI	0.64	0.659	2017-07-25	2017-02-01	2018-01-16
RHT	0.33	0.539	2016-09-21	2016-04-01	2017-03-15
RIG	-4.32	-0.088	2017-08-02	2017-02-09	2018-01-24
RJF	0.78	1.136	2017-04-26	2016-11-01	2017-10-16
RL	0.55	1.714	2016-11-10	2016-05-23	2017-05-05
RLGY	0.79	0.745	2017-08-03	2017-02-10	2018-01-25
RMD	0.54	0.684	2017-01-23	2016-08-01	2017-07-14
RNG	-0.03	0.03	2017-08-02	2017-02-09	2018-01-24
RNR	4.25	2.354	2017-07-25	2017-02-01	2018-01-16
ROK	1.47	1.402	2017-04-26	2016-11-01	2017-10-16
ROL	0.25	0.245	2017-07-26	2017-02-02	2018-01-17
ROP	1.76	2.218	2017-07-31	2017-02-07	2018-01-22
ROST	0.72	0.674	2016-08-18	2016-02-29	2017-02-09
RP	0.08	0.222	2017-08-02	2017-02-09	2018-01-24
RPAI	0.48	0.04	2017-08-01	2017-02-08	2018-01-23
RPM	-0.54	0.605	2017-01-05	2016-07-15	2017-06-28
RRC	0.28	0.079	2017-08-01	2017-02-08	2018-01-23
RS	1.41	1.369	2017-07-27	2017-02-03	2018-01-18
RSG	0.6	0.598	2017-07-27	2017-02-03	2018-01-18
RTN	1.9	1.756	2017-07-27	2017-02-03	2018-01-18
RYN	0.2	0.105	2017-08-02	2017-02-09	2018-01-24
S	-0.04	-0.082	2016-10-25	2016-05-05	2017-04-19
SABR	-0.02	0.351	2017-08-01	2017-02-08	2018-01-23
SAGE	-1.88	-1.637	2017-08-03	2017-02-10	2018-01-25
SATS	0.07	0.095	2017-08-09	2017-02-16	2018-01-31
SBAC	0.08	0.195	2017-07-31	2017-02-07	2018-01-22
SBNY	0.26	2.214	2017-07-19	2017-01-26	2018-01-09
SBUX	0.45	0.448	2017-04-27	2016-11-02	2017-10-17
SC	0.74	0.605	2017-07-28	2017-02-06	2018-01-19
SCCO	0.39	0.417	2017-07-27	2017-02-03	2018-01-18
SCG	0.85	0.743	2017-08-03	2017-02-10	2018-01-25
SCHW	0.4	0.388	2017-07-18	2017-01-25	2018-01-08
SCI	0.37	0.303	2017-07-26	2017-02-02	2018-01-17
SEE	0.53	0.356	2017-08-08	2017-02-15	2018-01-30
SEIC	0.58	0.552	2017-07-26	2017-02-02	2018-01-17
SERV	0.64	0.683	2017-07-31	2017-02-07	2018-01-22
SFM	0.3	0.25	2017-08-03	2017-02-10	2018-01-25
SGEN	-0.39	-0.407	2017-07-27	2017-02-03	2018-01-18
SHW	3.44	4.638	2017-07-20	2017-01-27	2018-01-10
SIRI	0.04	0.042	2017-07-27	2017-02-03	2018-01-18
SIVB	2.34	2.025	2017-07-27	2017-02-03	2018-01-18
SIX	0.6	0.716	2017-07-26	2017-02-02	2018-01-17
SJM	1.52	1.927	2016-11-17	2016-05-31	2017-05-12
SKX	0.38	0.441	2017-07-20	2017-01-27	2018-01-10
SLB	-0.05	0.298	2017-07-21	2017-01-30	2018-01-11
SLG	0.08	0.545	2017-07-19	2017-01-26	2018-01-09
SLGN	0.25	0.352	2017-07-26	2017-02-02	2018-01-17
SLM	0.15	0.164	2017-07-19	2017-01-26	2018-01-09
SM	-1.08	-0.292	2017-08-03	2017-02-10	2018-01-25
SMG	2.76	2.904	2017-05-02	2016-11-07	2017-10-20
SNA	2.65	2.556	2017-07-20	2017-01-27	2018-01-10
SNH	0.07	0.148	2017-08-03	2017-02-10	2018-01-25
SNPS	0.35	0.858	2017-05-17	2016-11-22	2017-11-06
SNV	0.6	0.591	2017-07-18	2017-01-25	2018-01-08
SO	-1.38	0.709	2017-08-02	2017-02-09	2018-01-24
SON	0.43	0.701	2017-07-20	2017-01-27	2018-01-10
SPG	1.23	1.13	2017-08-01	2017-02-08	2018-01-23
SPGI	1.63	1.576	2017-07-27	2017-02-03	2018-01-18
SPLK	-0.65	0.034	2016-08-25	2016-03-07	2017-02-16
SPR	-0.48	1.196	2017-08-02	2017-02-09	2018-01-24
SQ	-0.04	0.05	2017-08-02	2017-02-09	2018-01-24
SRC	0.05	0.069	2017-08-03	2017-02-10	2018-01-25
SRCL	-1.74	1.128	2017-08-03	2017-02-10	2018-01-25
SRE	1.03	0.859	2017-08-04	2017-02-13	2018-01-26
SSNC	0.25	0.462	2017-07-27	2017-02-03	2018-01-18
ST	0.46	0.784	2017-07-25	2017-02-01	2018-01-16
STAY	0.257098	0.308	2017-08-01	2017-02-08	2018-01-23
STE	0.47	0.897	2016-11-02	2016-05-13	2017-04-27
STI	1.05	0.987	2017-07-21	2017-01-30	2018-01-11
STL	0.31	0.33	2017-07-25	2017-02-01	2018-01-16
STLD	0.64	0.63	2017-07-19	2017-01-26	2018-01-09
STOR	0.353639	0.198	2017-08-03	2017-02-10	2018-01-25
STT	1.56	1.572	2017-07-26	2017-02-02	2018-01-17
STWD	0.45	0.509	2017-08-09	2017-02-16	2018-01-31
STZ	1.787235	1.655	2016-10-05	2016-04-15	2017-03-29
SUI	0.16	0.16	2017-07-26	2017-02-02	2018-01-17
SWK	1.86	1.964	2017-07-24	2017-01-31	2018-01-12
SWKS	1.22	1.401	2017-04-27	2016-11-02	2017-10-17
SYF	0.62	0.572	2017-07-21	2017-01-30	2018-01-11
SYK	1.04	1.509	2017-07-27	2017-02-03	2018-01-18
SYMC	-0.23	0.201	2016-11-03	2016-05-16	2017-04-28
SYY	0.5	0.542	2017-02-06	2016-08-15	2017-07-28
T	0.63	0.736	2017-07-25	2017-02-01	2018-01-16
TAP	1.53	2.117	2017-08-02	2017-02-09	2018-01-24
TCBI	0.98	0.948	2017-07-19	2017-01-26	2018-01-09
TCF	0.33	0.299	2017-07-24	2017-01-31	2018-01-12
TCO	0.22	0.178	2017-07-27	2017-02-03	2018-01-18
TDC	-0.03	0.279	2017-07-27	2017-02-03	2018-01-18
TDG	2.78	3.005	2017-05-09	2016-11-14	2017-10-27
TDS	0.09	0.22	2017-08-04	2017-02-13	2018-01-26
TDY	1.71	1.26	2017-08-03	2017-02-10	2018-01-25
TEAM	-0.01	0.081	2017-01-19	2016-07-28	2017-07-12
TECH	0.2	0.841	2017-02-07	2016-08-16	2017-07-31
TER	0.88	0.864	2017-07-26	2017-02-02	2018-01-17
TEX	1.05	0.427	2017-08-01	2017-02-08	2018-01-23
TFSL	0.08	0.07	2017-04-28	2016-11-03	2017-10-18
TFX	1.73	1.908	2017-08-03	2017-02-10	2018-01-25
TGT	1.17	1.132	2016-08-17	2016-02-26	2017-02-08
THG	1.85	1.563	2017-08-02	2017-02-09	2018-01-24
THO	1.23	1.216	2017-03-06	2016-09-12	2017-08-24
THS	-0.6	0.486	2017-08-03	2017-02-10	2018-01-25
TIF	0.84	0.714	2016-08-25	2016-03-07	2017-02-16
TJX	0.425	0.409	2016-08-16	2016-02-25	2017-02-07
TKR	1.06	0.67	2017-07-26	2017-02-02	2018-01-17
TMK	1.2	1.168	2017-07-26	2017-02-02	2018-01-17
TMO	1.57	2.267	2017-07-26	2017-02-02	2018-01-17
TMUS	0.68	0.359	2017-07-19	2017-01-26	2018-01-09
TOL	0.76	0.624	2017-05-23	2016-11-29	2017-11-10
TPR	0.71	0.742	2017-01-31	2016-08-09	2017-07-24
TPX	0.45	0.407	2017-07-27	2017-02-03	2018-01-18
TRCO	-0.35	0.412	2017-08-09	2017-02-16	2018-01-31
TRGP	0.14	-0.151	2017-08-03	2017-02-10	2018-01-25
TRIP	0.19	0.301	2017-08-08	2017-02-15	2018-01-30
TRMB	0.19	0.35	2017-08-02	2017-02-09	2018-01-24
TRN	0.34	0.304	2017-07-25	2017-02-01	2018-01-16
TROW	1.52	1.296	2017-07-25	2017-02-01	2018-01-16
TRU	0.36	0.432	2017-07-25	2017-02-01	2018-01-16
TRV	2.13	2.12	2017-07-20	2017-01-27	2018-01-10
TSCO	1.25	1.268	2017-07-26	2017-02-02	2018-01-17
TSLA	-2.04	-1.876	2017-08-02	2017-02-09	2018-01-24
TSN	0.92	1.024	2017-05-08	2016-11-11	2017-10-26
TSRO	-2.82	-2.489	2017-08-08	2017-02-15	2018-01-30
TSS	0.62	0.802	2017-07-25	2017-02-01	2018-01-16
TTC	1.11	1.037	2017-05-25	2016-12-01	2017-11-14
TTWO	0.42	0.288	2016-11-02	2016-05-13	2017-04-27
TWLO	-0.08	-0.108	2017-08-07	2017-02-14	2018-01-29
TWO	0.04	0.533	2017-08-07	2017-02-14	2018-01-29
TWOU	-0.25	-0.117	2017-08-07	2017-02-14	2018-01-29
TWTR	-0.16	0.046	2017-07-27	2017-02-03	2018-01-18
TXN	1.05	1.012	2017-07-25	2017-02-01	2018-01-16
TXT	0.57	0.547	2017-07-19	2017-01-26	2018-01-09
TYL	0.86	0.936	2017-07-26	2017-02-02	2018-01-17
UAA	-0.03	-0.061	2017-08-01	2017-02-08	2018-01-23
UAL	2.67	2.719	2017-07-18	2017-01-25	2018-01-08
UBNT	0.74	0.751	2017-02-09	2016-08-18	2017-08-02
UDR	0.03	0.084	2017-07-26	2017-02-02	2018-01-17
UFS	0.61	0.545	2017-07-28	2017-02-06	2018-01-19
UGI	1.27	1.248	2017-05-01	2016-11-04	2017-10-19
UHAL	9.01	8.78	2016-11-09	2016-05-20	2017-05-04
UHS	1.93	2.063	2017-07-25	2017-02-01	2018-01-16
ULTA	1.44	1.397	2016-08-25	2016-03-07	2017-02-16
ULTI	0.15	0.904	2017-08-01	2017-02-08	2018-01-23
UMPQ	0.26	0.268	2017-07-19	2017-01-26	2018-01-09
UNH	2.37	2.379	2017-07-18	2017-01-25	2018-01-08
UNIT	-0.11	-0.028	2017-08-03	2017-02-10	2018-01-25
UNM	1.08	1.011	2017-07-27	2017-02-03	2018-01-18
UNP	1.45	1.393	2017-07-20	2017-01-27	2018-01-10
UNVR	0.22	0.316	2017-08-04	2017-02-13	2018-01-26
UPS	1.59	1.468	2017-07-27	2017-02-03	2018-01-18
URBN	0.66	0.553	2016-08-16	2016-02-25	2017-02-07
URI	1.67	2.319	2017-07-19	2017-01-26	2018-01-09
USB	0.85	0.844	2017-07-19	2017-01-26	2018-01-09
USFD	0.29	0.363	2017-08-09	2017-02-16	2018-01-31
USG	0.25	0.514	2017-07-26	2017-02-02	2018-01-17
USM	0.14	0.15	2017-08-04	2017-02-13	2018-01-26
UTHR	-1.25	3.793	2017-07-27	2017-02-03	2018-01-18
UTX	1.83	1.777	2017-07-25	2017-02-01	2018-01-16
V	0.203406	0.79	2017-04-20	2016-10-26	2017-10-10
VAR	0.6	0.896	2017-04-26	2016-11-01	2017-10-16
VC	1.43	1.268	2017-07-27	2017-02-03	2018-01-18
VEEV	0.1	0.13	2016-08-30	2016-03-10	2017-02-22
VER	0.034294	0.02	2017-08-03	2017-02-10	2018-01-25
VFC	0.28	0.284	2017-07-24	2017-01-31	2018-01-12
VIA	0.3	0.599	2017-05-04	2016-11-09	2017-10-24
VIAB	0.3	0.599	2017-05-04	2016-11-09	2017-10-24
