Ticket	Actual EPS	Bloomberg Estimated EPS	Announcement Date	start_date	end_date
BAH	0.42	0.426	2016-11-02	2016-05-13	2017-04-27
BAX	0.49	0.567	2017-07-26	2017-02-02	2018-01-17
BBT	0.78	0.768	2017-07-20	2017-01-27	2018-01-10
BBY	0.62	0.428	2016-08-23	2016-03-03	2017-02-14
BC	1.33	1.334	2017-07-27	2017-02-03	2018-01-18
BDN	0.02	0.016	2017-07-20	2017-01-27	2018-01-10
BDX	1.61	2.233	2017-05-02	2016-11-07	2017-10-20
BEN	0.74	0.672	2017-04-28	2016-11-03	2017-10-18
BERY	0.56	0.651	2017-05-03	2016-11-08	2017-10-23
BFAM	0.56	0.717	2017-08-01	2017-02-08	2018-01-23
BG	0.52	0.131	2017-08-02	2017-02-09	2018-01-24
BGCP	0.18	0.24	2017-07-26	2017-02-02	2018-01-17
BHGE	0	-0.111	2017-07-28	2017-02-06	2018-01-19
BIIB	4.07	4.402	2017-07-25	2017-02-01	2018-01-16
BIO	0.17	0.56	2017-08-03	2017-02-10	2018-01-25
BK	0.88	0.843	2017-07-20	2017-01-27	2018-01-10
BKNG	14.66	14.193	2017-08-08	2017-02-15	2018-01-30
BKU	0.6	0.56	2017-07-26	2017-02-02	2018-01-17
BLK	5.26	5.382	2017-07-17	2017-01-24	2018-01-05
BLL	0.28	0.549	2017-08-03	2017-02-10	2018-01-25
BLUE	-1.73	-1.646	2017-08-02	2017-02-09	2018-01-24
BMRN	-0.21	0.049	2017-08-02	2017-02-09	2018-01-24
BMS	0.31	0.553	2017-07-27	2017-02-03	2018-01-18
BMY	0.56	0.737	2017-07-27	2017-02-03	2018-01-18
BOH	1.05	1.028	2017-07-24	2017-01-31	2018-01-12
BOKF	1.35	1.3	2017-07-26	2017-02-02	2018-01-17
BPOP	0.94	0.915	2017-07-26	2017-02-02	2018-01-17
BR	0.25	0.377	2017-02-08	2016-08-17	2017-08-01
BRKR	0.15	0.203	2017-08-03	2017-02-10	2018-01-25
BRO	0.235	0.238	2017-07-17	2017-01-24	2018-01-05
BRX	0.25	0.208	2017-07-31	2017-02-07	2018-01-22
BSX	0.11	0.311	2017-07-27	2017-02-03	2018-01-18
BURL	0.29	0.296	2016-08-25	2016-03-07	2017-02-16
BWA	1.01	0.893	2017-07-27	2017-02-03	2018-01-18
BWXT	0.62	0.474	2017-08-07	2017-02-14	2018-01-29
BXP	0.87	0.774	2017-08-01	2017-02-08	2018-01-23
C	1.28	1.208	2017-07-14	2017-01-23	2018-01-04
CABO	4.91	5.456	2017-08-08	2017-02-15	2018-01-30
CACC	5.09	4.661	2017-07-31	2017-02-07	2018-01-22
CAG	0.28	0.454	2016-12-22	2016-07-05	2017-06-16
CAH	1.02	1.229	2017-02-07	2016-08-16	2017-07-31
CASY	1.46	1.567	2016-12-07	2016-06-17	2017-06-01
CAT	1.36	1.248	2017-07-25	2017-02-01	2018-01-16
CB	2.79	2.463	2017-07-25	2017-02-01	2018-01-16
CBOE	0.6	0.857	2017-08-04	2017-02-13	2018-01-26
CBRE	0.6	0.531	2017-07-27	2017-02-03	2018-01-18
CBS	0.14	0.957	2017-08-07	2017-02-14	2018-01-29
CBSH	0.680272109	0.632	2017-07-13	2017-01-20	2018-01-03
CBT	1.169872	0.854	2017-05-01	2016-11-04	2017-10-19
CC	0.87	0.849	2017-08-02	2017-02-09	2018-01-24
CCI	0.31	0.276	2017-07-19	2017-01-26	2018-01-09
CCK	0.95	1.098	2017-07-19	2017-01-26	2018-01-09
CCL	0.52	0.474	2017-06-22	2016-12-29	2017-12-12
CDEV	0.09	0.014	2017-08-07	2017-02-14	2018-01-29
CDK	0.56	0.558	2017-02-02	2016-08-11	2017-07-26
CDNS	0.25	0.323	2017-07-24	2017-01-31	2018-01-12
CDW	0.9	1.028	2017-08-03	2017-02-10	2018-01-25
CE	1.67	1.756	2017-07-24	2017-01-31	2018-01-12
CELG	1.41	1.775	2017-07-27	2017-02-03	2018-01-18
CERN	0.54	0.613	2017-07-27	2017-02-03	2018-01-18
CF	0.01	-0.04	2017-08-02	2017-02-09	2018-01-24
CFG	0.63	0.594	2017-07-21	2017-01-30	2018-01-11
CFR	1.3	1.286	2017-07-27	2017-02-03	2018-01-18
CFX	0.43	0.431	2017-07-28	2017-02-06	2018-01-19
CGNX	0.165	0.269	2017-07-31	2017-02-07	2018-01-22
CHD	0.29	0.388	2017-08-03	2017-02-10	2018-01-25
CHE	-1.35	1.89	2017-07-25	2017-02-01	2018-01-16
CHH	0.9	0.768	2017-08-02	2017-02-09	2018-01-24
CHRW	0.79	0.899	2017-07-19	2017-01-26	2018-01-09
CHTR	0.53	0.768	2017-07-27	2017-02-03	2018-01-18
CI	3.2	2.477	2017-08-04	2017-02-13	2018-01-26
CIM	0.56	0.632	2017-08-02	2017-02-09	2018-01-24
CINF	0.61	0.495	2017-08-02	2017-02-09	2018-01-24
CIT	0.86	0.591	2017-07-25	2017-02-01	2018-01-16
CL	0.59	0.721	2017-07-21	2017-01-30	2018-01-11
CLGX	0.49	0.661	2017-07-25	2017-02-01	2018-01-16
CLH	0.45	0.256	2017-08-02	2017-02-09	2018-01-24
CLR	-0.17	-0.007	2017-08-08	2017-02-15	2018-01-30
CLX	1.16	1.219	2017-02-03	2016-08-12	2017-07-27
CMA	1.15	1.079	2017-07-18	2017-01-25	2018-01-08
CMCSA	0.53	0.485	2017-07-27	2017-02-03	2018-01-18
CMD	0.43	0.497	2017-03-09	2016-09-15	2017-08-29
CME	1.23	1.205	2017-08-01	2017-02-08	2018-01-23
CMG	2.33	2.177	2017-07-25	2017-02-01	2018-01-16
CMI	2.53	2.577	2017-08-01	2017-02-08	2018-01-23
CMS	0.33	0.389	2017-07-28	2017-02-06	2018-01-19
CNA	1.01	0.756	2017-07-31	2017-02-07	2018-01-22
CNC	1.47	1.325	2017-07-25	2017-02-01	2018-01-16
CNDT	-0.03	0.159	2017-08-09	2017-02-16	2018-01-31
CNK	0.44	0.46	2017-08-04	2017-02-13	2018-01-26
CNP	0.31	0.219	2017-08-03	2017-02-10	2018-01-25
CNX	0.74	0.1	2017-08-01	2017-02-08	2018-01-23
COF	1.96	1.898	2017-07-20	2017-01-27	2018-01-10
COG	0.05	0.148	2017-07-27	2017-02-03	2018-01-18
COHR	1.71	2.445	2017-05-09	2016-11-14	2017-10-27
COLM	-0.17	-0.205	2017-07-27	2017-02-03	2018-01-18
COMM	0.29	0.646	2017-08-03	2017-02-10	2018-01-25
CONE	-0.01	0.073	2017-08-02	2017-02-09	2018-01-24
COO	2.14	2.25	2017-06-01	2016-12-07	2017-11-20
COP	-2.78	-0.018	2017-07-27	2017-02-03	2018-01-18
COR	0.46	0.443	2017-07-27	2017-02-03	2018-01-18
COST	1.17	1.351	2017-03-02	2016-09-08	2017-08-22
COTY	0.06	0.34	2017-02-09	2016-08-18	2017-08-02
CPA	1.49	1.443	2017-08-09	2017-02-16	2018-01-31
CPB	0.33	0.879	2017-02-17	2016-08-26	2017-08-10
CPRT	0.29	0.288	2017-02-21	2016-08-29	2017-08-11
CPT	0.43	0.42	2017-07-27	2017-02-03	2018-01-18
CR	1.16	1.172	2017-07-24	2017-01-31	2018-01-12
CRI	0.78	0.705	2017-07-27	2017-02-03	2018-01-18
CRL	1.13	1.217	2017-08-09	2017-02-16	2018-01-31
CRM	0.34	0.22	2016-08-31	2016-03-11	2017-02-23
CSCO	0.47	0.562	2017-02-15	2016-08-24	2017-08-08
CSGP	0.68	0.626	2017-07-26	2017-02-02	2018-01-17
CSL	1.59	1.598	2017-07-25	2017-02-01	2018-01-16
CSX	0.55	0.591	2017-07-18	2017-01-25	2018-01-08
CTAS	1.32	1.154	2016-12-22	2016-07-05	2017-06-16
CTL	0.03	0.489	2017-08-02	2017-02-09	2018-01-24
CTLT	0.14	0.262	2017-02-06	2016-08-15	2017-07-28
CTSH	0.8	0.905	2017-08-03	2017-02-10	2018-01-25
CTXS	0.72	0.996	2017-08-02	2017-02-09	2018-01-24
CUBE	0.18	0.162	2017-07-27	2017-02-03	2018-01-18
CVS	1.07	1.307	2017-08-08	2017-02-15	2018-01-30
CVX	0.77	0.873	2017-07-28	2017-02-06	2018-01-19
CW	1.15	0.966	2017-07-26	2017-02-02	2018-01-17
CXO	1.02	0.428	2017-08-02	2017-02-09	2018-01-24
CXP	0.01	-0.01	2017-07-27	2017-02-03	2018-01-18
CY	-0.05	0.163	2017-07-27	2017-02-03	2018-01-18
CZR	-9.62	0.235	2017-08-03	2017-02-10	2018-01-25
D	0.62	0.667	2017-08-02	2017-02-09	2018-01-24
DAL	1.63	1.655	2017-07-13	2017-01-20	2018-01-03
DATA	-0.54	-0.05	2017-08-02	2017-02-09	2018-01-24
DCI	0.35	0.314	2017-03-01	2016-09-07	2017-08-21
DE	2.53	1.627	2017-05-19	2016-11-25	2017-11-08
DEI	0.129	0.133	2017-08-01	2017-02-08	2018-01-23
DFS	1.403694	1.443	2017-07-26	2017-02-02	2018-01-17
DG	1.08	1.09	2016-08-25	2016-03-07	2017-02-16
DHI	0.61	0.591	2017-04-20	2016-10-26	2017-10-10
DHR	0.8	0.969	2017-07-20	2017-01-27	2018-01-10
DIS	1.51	1.411	2017-05-09	2016-11-14	2017-10-27
DISCA	0.65	0.721	2017-07-31	2017-02-07	2018-01-22
DISCK	0.65	0.721	2017-07-31	2017-02-07	2018-01-22
DISH	0.09	0.745	2017-08-03	2017-02-10	2018-01-25
DKS	0.82	0.687	2016-08-16	2016-02-25	2017-02-07
DLB	0.5	0.663	2017-04-26	2016-11-01	2017-10-16
DLR	0.36	0.394	2017-07-27	2017-02-03	2018-01-18
DLTR	0.72	0.733	2016-08-25	2016-03-07	2017-02-16
DNB	1.22	1.164	2017-08-02	2017-02-09	2018-01-24
DNKN	0.56	0.623	2017-07-27	2017-02-03	2018-01-18
DOV	1.05	1.007	2017-07-20	2017-01-27	2018-01-10
DOX	0.77	0.936	2017-05-09	2016-11-14	2017-10-27
DPZ	1.37	1.231	2017-07-25	2017-02-01	2018-01-16
DRE	3.372437	0.094	2017-07-26	2017-02-02	2018-01-17
DRI	0.65	0.635	2016-12-20	2016-06-30	2017-06-14
DTE	0.99	0.999	2017-07-26	2017-02-02	2018-01-17
DUK	0.98	1.014	2017-08-03	2017-02-10	2018-01-25
DVA	0.66	0.902	2017-08-01	2017-02-08	2018-01-23
DVN	0.415385	0.327	2017-08-01	2017-02-08	2018-01-23
DWDP	0.79	1.062	2017-10-26	2017-05-08	2018-04-20
DXC	0.11	0.61	2017-11-07	2017-05-18	2018-05-02
DXCM	0.03	-0.217	2017-08-01	2017-02-08	2018-01-23
EA	-0.13	0.433	2016-11-01	2016-05-12	2017-04-26
EBAY	0.03	0.446	2017-07-20	2017-01-27	2018-01-10
ECL	1.02	1.125	2017-08-01	2017-02-08	2018-01-23
ED	0.57	0.62	2017-08-03	2017-02-10	2018-01-25
EEFT	0.98	1.067	2017-07-25	2017-02-01	2018-01-16
EFX	1.37	1.57	2017-07-26	2017-02-02	2018-01-17
EGN	0.3	0.047	2017-08-08	2017-02-15	2018-01-30
EHC	0.7	0.675	2017-07-31	2017-02-07	2018-01-22
EIX	0.85	0.915	2017-07-27	2017-02-03	2018-01-18
EL	1.17	1.172	2017-02-02	2016-08-11	2017-07-26
EMN	2.01	1.905	2017-07-27	2017-02-03	2018-01-18
EMR	0.45	0.581	2017-05-02	2016-11-07	2017-10-20
ENR	0.76	0.339	2017-05-03	2016-11-08	2017-10-23
EOG	0.04	0.121	2017-08-01	2017-02-08	2018-01-23
EPAM	0.72	0.813	2017-08-03	2017-02-10	2018-01-25
EPR	1.02	0.76	2017-08-03	2017-02-10	2018-01-25
EQC	-0.06	0.051	2017-07-24	2017-01-31	2018-01-12
EQIX	0.59	0.919	2017-08-02	2017-02-09	2018-01-24
EQR	0.53	0.316	2017-07-25	2017-02-01	2018-01-16
EQT	0.24	0.065	2017-07-27	2017-02-03	2018-01-18
ERIE	1.201223	1.21	2017-07-27	2017-02-03	2018-01-18
ES	0.72	0.682	2017-07-27	2017-02-03	2018-01-18
ESRX	1.38	1.714	2017-07-25	2017-02-01	2018-01-16
ESS	1.08	0.974	2017-07-27	2017-02-03	2018-01-18
ETFC	0.7	0.481	2017-07-20	2017-01-27	2018-01-10
ETN	1.16	1.157	2017-08-01	2017-02-08	2018-01-23
ETR	2.28	1.184	2017-08-02	2017-02-09	2018-01-24
EV	0.65	0.591	2017-05-24	2016-11-30	2017-11-13
EVR	0.45	0.843	2017-07-27	2017-02-03	2018-01-18
EW	0.88	0.881	2017-07-26	2017-02-02	2018-01-17
EWBC	0.82	0.802	2017-07-20	2017-01-27	2018-01-10
EXAS	-0.27	-0.351	2017-07-25	2017-02-01	2018-01-16
EXC	0.1	0.524	2017-08-02	2017-02-09	2018-01-24
EXEL	0.06	0.037	2017-08-02	2017-02-09	2018-01-24
EXP	1.26	1.287	2016-10-24	2016-05-04	2017-04-18
EXPD	0.6	0.591	2017-08-08	2017-02-15	2018-01-30
EXPE	0.37	0.92	2017-07-27	2017-02-03	2018-01-18
EXR	0.69	0.648	2017-08-01	2017-02-08	2018-01-23
F	0.51	0.43	2017-07-26	2017-02-02	2018-01-17
FAF	1.1	0.93	2017-07-27	2017-02-03	2018-01-18
FANG	1.61	0.946	2017-08-01	2017-02-08	2018-01-23
FAST	0.52	0.497	2017-07-12	2017-01-19	2018-01-02
FB	1.34	1.384	2017-07-26	2017-02-02	2018-01-17
FBHS	0.89	0.872	2017-08-02	2017-02-09	2018-01-24
FCX	0.18	0.202	2017-07-25	2017-02-01	2018-01-16
FDC	0.2	0.399	2017-08-07	2017-02-14	2018-01-29
FDS	1.69	1.797	2017-03-28	2016-10-04	2017-09-18
FDX	2.63	2.908	2016-12-20	2016-06-30	2017-06-14
FE	0.39	0.597	2017-07-27	2017-02-03	2018-01-18
FEYE	-0.39	-0.116	2017-08-01	2017-02-08	2018-01-23
FFIV	1.44	1.971	2017-04-26	2016-11-01	2017-10-16
FHB	0.41	0.406	2017-07-27	2017-02-03	2018-01-18
FHN	0.39	0.262	2017-07-14	2017-01-23	2018-01-04
FICO	0.81	1.127	2017-04-27	2016-11-02	2017-10-17
FIS	0.42	0.972	2017-08-02	2017-02-09	2018-01-24
FISV	0.52	0.618	2017-08-01	2017-02-08	2018-01-23
FITB	0.46	0.425	2017-07-21	2017-01-30	2018-01-11
FL	0.94	0.901	2016-08-19	2016-03-01	2017-02-10
FLIR	0.38	0.416	2017-07-26	2017-02-02	2018-01-17
FLO	0.21	0.23	2017-08-09	2017-02-16	2018-01-31
FLR	-0.17	0.601	2017-08-03	2017-02-10	2018-01-25
