Ticket	adjusted eps	Bloomberg Estimated EPS	Announcement Date	start_date	end_date
IP	0.65	0.647	2017-07-27	2017-02-03	2018-01-18
IPG	0.27	0.343	2017-07-25	2017-02-01	2018-01-16
IPGP	1.9255	1.665	2017-08-01	2017-02-08	2018-01-23
IQV	0.5245	1.051	2017-08-03	2017-02-10	2018-01-25
IR	1.5002	1.455	2017-07-26	2017-02-02	2018-01-17
IRM	0.3	0.288	2017-07-28	2017-02-06	2018-01-19
ISRG	1.7454	1.928	2017-07-20	2017-01-27	2018-01-10
IT	0.88	0.851	2017-08-08	2017-02-15	2018-01-30
ITT	0.65	0.628	2017-08-04	2017-02-13	2018-01-26
ITW	1.66	1.636	2017-07-24	2017-01-31	2018-01-12
IVZ	0.64	0.612	2017-07-27	2017-02-03	2018-01-18
JAZZ	1.7393	2.755	2017-08-08	2017-02-15	2018-01-30
JBHT	0.8831	0.913	2017-07-17	2017-01-24	2018-01-05
JBL	0.0887	0.464	2017-03-15	2016-09-21	2017-09-05
JBLU	0.6365	0.584	2017-07-25	2017-02-01	2018-01-16
JCI	0.71	0.494	2017-04-27	2016-11-02	2017-10-17
JEC	0.79	0.718	2017-05-09	2016-11-14	2017-10-27
JKHY	0.83	0.74	2017-02-07	2016-08-16	2017-07-31
JNJ	1.83	1.79	2017-07-18	2017-01-25	2018-01-08
JNPR	0.4869	0.542	2017-07-25	2017-02-01	2018-01-16
JPM	1.7126	1.583	2017-07-14	2017-01-23	2018-01-04
JWN	0.6528	0.566	2016-08-11	2016-02-22	2017-02-02
K	0.97	0.92	2017-08-03	2017-02-10	2018-01-25
KAR	0.65	0.578	2017-08-08	2017-02-15	2018-01-30
KEX	0.4822	0.476	2017-07-26	2017-02-02	2018-01-17
KEY	0.34	0.337	2017-07-20	2017-01-27	2018-01-10
KEYS	0.4449	0.568	2017-06-06	2016-12-12	2017-11-24
KHC	0.98	0.949	2017-08-03	2017-02-10	2018-01-25
KIM	0.3789	0.137	2017-07-26	2017-02-02	2018-01-17
KLAC	1.64	1.404	2017-01-26	2016-08-04	2017-07-19
KMB	1.49	1.491	2017-07-25	2017-02-01	2018-01-16
KMI	0.14	0.147	2017-07-19	2017-01-26	2018-01-09
KMX	1.13	0.881	2016-09-21	2016-04-01	2017-03-15
KNX	0.3472	0.283	2017-07-24	2017-01-31	2018-01-12
KO	0.59	0.575	2017-07-26	2017-02-02	2018-01-17
KORS	0.8	0.881	2016-11-10	2016-05-23	2017-05-05
KOS	-0.02	-0.022	2017-08-07	2017-02-14	2018-01-29
KR	0.58	0.452	2016-09-09	2016-03-21	2017-03-03
KRC	0.3	0.265	2017-07-26	2017-02-02	2018-01-17
KSS	1.24	1.032	2016-08-11	2016-02-22	2017-02-02
KSU	1.33	1.281	2017-07-21	2017-01-30	2018-01-11
L	0.7521	0.763	2017-07-31	2017-02-07	2018-01-22
LAMR	0.9341	0.877	2017-08-08	2017-02-15	2018-01-30
LAZ	0.98	0.794	2017-07-27	2017-02-03	2018-01-18
LB	0.48	0.597	2016-08-17	2016-02-26	2017-02-08
LBRDA	0.0025	0.05	2017-08-02	2017-02-09	2018-01-24
LDOS	1.04	0.781	2017-08-03	2017-02-10	2018-01-25
LEA	4.39	4.111	2017-07-26	2017-02-02	2018-01-17
LECO	0.97	0.938	2017-07-25	2017-02-01	2018-01-16
LEG	0.64	0.649	2017-07-27	2017-02-03	2018-01-18
LEN	0.902	0.768	2017-06-20	2016-12-27	2017-12-08
LFUS	2.1	2.085	2017-08-02	2017-02-09	2018-01-24
LH	2.47	2.406	2017-07-26	2017-02-02	2018-01-17
LII	2.83	2.759	2017-07-24	2017-01-31	2018-01-12
LKQ	0.53	0.519	2017-07-27	2017-02-03	2018-01-18
LLL	2.54	2.028	2017-07-27	2017-02-03	2018-01-18
LLY	1.11	1.049	2017-07-25	2017-02-01	2018-01-16
LM	0.6526	0.825	2016-10-28	2016-05-10	2017-04-24
LMT	3.2349	3.108	2017-07-18	2017-01-25	2018-01-08
LNC	1.85	1.748	2017-08-02	2017-02-09	2018-01-24
LNG	-1.0839	-0.017	2017-08-08	2017-02-15	2018-01-30
LNT	0.41	0.381	2017-08-03	2017-02-10	2018-01-25
LOGM	0.3998	0.931	2017-07-27	2017-02-03	2018-01-18
LOPE	0.8282	0.683	2017-08-01	2017-02-08	2018-01-23
LOW	1.57	1.417	2016-08-17	2016-02-26	2017-02-08
LPLA	0.74	0.649	2017-07-27	2017-02-03	2018-01-18
LPT	0.3086	0.33	2017-07-25	2017-02-01	2018-01-16
LRCX	3.11	2.196	2017-01-25	2016-08-03	2017-07-18
LSI	0.4164	0.557	2017-08-02	2017-02-09	2018-01-24
LSTR	0.89	0.886	2017-07-26	2017-02-02	2018-01-17
LSXMK	0.3625	0.4	2017-08-09	2017-02-16	2018-01-31
LULU	0.39	0.38	2016-09-01	2016-03-14	2017-02-24
LUV	1.24	1.196	2017-07-27	2017-02-03	2018-01-18
LVS	0.73	0.59	2017-07-26	2017-02-02	2018-01-17
LYB	2.82	2.68	2017-07-28	2017-02-06	2018-01-19
LYV	0.3047	0.19	2017-08-09	2017-02-16	2018-01-31
M	0.48	0.453	2016-08-11	2016-02-22	2017-02-02
MA	1.1	1.044	2017-07-27	2017-02-03	2018-01-18
MAA	0.4339	0.333	2017-07-26	2017-02-02	2018-01-17
MAC	0.1914	0.141	2017-08-02	2017-02-09	2018-01-24
MAN	1.7206	1.741	2017-07-24	2017-01-31	2018-01-12
MANH	0.4771	0.478	2017-07-20	2017-01-27	2018-01-10
MAR	1.13	1.02	2017-08-07	2017-02-14	2018-01-29
MAS	0.6	0.596	2017-07-27	2017-02-03	2018-01-18
MASI	0.83	0.703	2017-08-02	2017-02-09	2018-01-24
MAT	-0.14	-0.093	2017-07-27	2017-02-03	2018-01-18
MCD	1.733	1.617	2017-07-25	2017-02-01	2018-01-16
MCHP	1.2518	0.872	2016-11-07	2016-05-18	2017-05-02
MCK	2.46	3.054	2016-10-27	2016-05-09	2017-04-21
MCO	1.51	1.338	2017-07-21	2017-01-30	2018-01-11
MCY	0.68	0.5	2017-07-31	2017-02-07	2018-01-22
MD	0.6863	0.872	2017-07-28	2017-02-06	2018-01-19
MDLZ	0.48	0.457	2017-08-02	2017-02-09	2018-01-24
MDT	1.12	1.11	2016-11-22	2016-06-03	2017-05-17
MDU	0.2235	0.248	2017-08-01	2017-02-08	2018-01-23
MET	1.3	1.282	2017-08-02	2017-02-09	2018-01-24
MFA	0.1872	0.18	2017-08-02	2017-02-09	2018-01-24
MGM	0.3418	0.301	2017-07-27	2017-02-03	2018-01-18
MHK	3.72	3.6	2017-07-27	2017-02-03	2018-01-18
MIC	0.32	0.497	2017-08-02	2017-02-09	2018-01-24
MIDD	1.3938	1.383	2017-08-09	2017-02-16	2018-01-31
MIK	0.19	0.169	2016-08-25	2016-03-07	2017-02-16
MKC	0.82	0.762	2017-06-29	2017-01-06	2017-12-19
MKL	9.4915	6.403	2017-07-26	2017-02-02	2018-01-17
MKSI	1.41	1.406	2017-07-25	2017-02-01	2018-01-16
MKTX	0.9986	0.918	2017-07-26	2017-02-02	2018-01-17
MLM	2.0945	2.363	2017-08-01	2017-02-08	2018-01-23
MMC	1	1.004	2017-07-27	2017-02-03	2018-01-18
MMM	2.58	2.59	2017-07-25	2017-02-01	2018-01-16
MNST	0.3854	0.399	2017-08-08	2017-02-15	2018-01-30
MO	0.85	0.859	2017-07-27	2017-02-03	2018-01-18
MOH	-4.01	0.865	2017-08-02	2017-02-09	2018-01-24
MOS	0.2906	0.229	2017-08-01	2017-02-08	2018-01-23
MPC	1.0238	1.066	2017-07-27	2017-02-03	2018-01-18
MPW	0.2128	0.207	2017-08-09	2017-02-16	2018-01-31
MPWR	0.3503	0.672	2017-07-26	2017-02-02	2018-01-17
MRK	1.01	0.874	2017-07-28	2017-02-06	2018-01-19
MRO	-0.24	-0.149	2017-08-02	2017-02-09	2018-01-24
MRVL	0.2208	0.111	2016-09-06	2016-03-16	2017-02-28
MS	0.87	0.765	2017-07-19	2017-01-26	2018-01-09
MSCI	0.95	0.899	2017-08-03	2017-02-10	2018-01-25
MSFT	0.75	0.786	2017-01-26	2016-08-04	2017-07-19
MSI	0.8751	1.037	2017-08-03	2017-02-10	2018-01-25
MSM	1.0973	0.897	2017-04-06	2016-10-13	2017-09-27
MTB	2.35	2.271	2017-07-19	2017-01-26	2018-01-09
MTCH	0.1742	0.184	2017-08-02	2017-02-09	2018-01-24
MTD	3.92	3.894	2017-07-27	2017-02-03	2018-01-18
MTN	-1.4258	3.396	2017-03-10	2016-09-16	2017-08-30
MU	1.4396	0.864	2017-03-23	2016-09-29	2017-09-13
MUR	-0.11	-0.154	2017-08-02	2017-02-09	2018-01-24
MXIM	0.63	0.433	2017-01-26	2016-08-04	2017-07-19
MYL	1.1	1.158	2017-08-09	2017-02-16	2018-01-31
NATI	0.2249	0.257	2017-07-27	2017-02-03	2018-01-18
NAVI	0.43	0.414	2017-07-18	2017-01-25	2018-01-08
NBIX	-0.68	-0.662	2017-08-03	2017-02-10	2018-01-25
NBL	0.05	-0.131	2017-08-03	2017-02-10	2018-01-25
NBR	-0.41	-0.356	2017-08-02	2017-02-09	2018-01-24
NCLH	1.02	0.971	2017-08-08	2017-02-15	2018-01-30
NCR	0.8	0.756	2017-07-20	2017-01-27	2018-01-10
NDAQ	1.02	0.966	2017-07-26	2017-02-02	2018-01-17
NDSN	1.78	1.306	2017-05-22	2016-11-28	2017-11-09
NEE	1.86	1.756	2017-07-26	2017-02-02	2018-01-17
NEM	0.46	0.261	2017-07-25	2017-02-01	2018-01-16
NEU	5.29	5.73	2017-08-02	2017-02-09	2018-01-24
NFG	0.69	1.048	2017-05-04	2016-11-09	2017-10-24
NFLX	0.147	0.248	2017-07-17	2017-01-24	2018-01-05
NFX	0.43	0.422	2017-08-01	2017-02-08	2018-01-23
NI	0.1	0.101	2017-08-02	2017-02-09	2018-01-24
NKE	0.6005	0.43	2016-12-20	2016-06-30	2017-06-14
NKTR	-0.3854	-0.357	2017-08-08	2017-02-15	2018-01-30
NLSN	0.4112	0.672	2017-07-27	2017-02-03	2018-01-18
NLY	0.3	0.293	2017-08-02	2017-02-09	2018-01-24
NNN	0.3615	0.348	2017-08-01	2017-02-08	2018-01-23
NOC	3.1453	2.858	2017-07-26	2017-02-02	2018-01-17
NOV	-0.14	-0.146	2017-07-27	2017-02-03	2018-01-18
NOW	-0.2655	0.199	2017-07-26	2017-02-02	2018-01-17
NRG	0.3259	0.047	2017-08-03	2017-02-10	2018-01-25
NRZ	1.03	0.529	2017-07-31	2017-02-07	2018-01-22
NSC	1.6822	1.652	2017-07-26	2017-02-02	2018-01-17
NTAP	0.4892	0.543	2016-11-16	2016-05-27	2017-05-11
NTRS	1.2262	1.229	2017-07-19	2017-01-26	2018-01-09
NUAN	-0.0288	0.381	2017-05-09	2016-11-14	2017-10-27
NUE	1.0057	1.063	2017-07-20	2017-01-27	2018-01-10
NUS	0.7666	0.69	2017-08-02	2017-02-09	2018-01-24
NVDA	0.9292	0.477	2016-08-11	2016-02-22	2017-02-02
NVR	35.1921	29.025	2017-07-21	2017-01-30	2018-01-11
NWL	0.87	0.867	2017-08-04	2017-02-13	2018-01-26
NWS	0.11	0.184	2017-02-09	2016-08-18	2017-08-02
NWSA	0.11	0.184	2017-02-09	2016-08-18	2017-08-02
NXPI	0.2419	1.511	2017-08-02	2017-02-09	2018-01-24
NYCB	0.22	0.195	2017-07-26	2017-02-02	2018-01-17
O	0.3003	0.32	2017-07-26	2017-02-02	2018-01-17
OC	1.2	1.076	2017-07-26	2017-02-02	2018-01-17
ODFL	1.194	1.097	2017-07-27	2017-02-03	2018-01-18
OFC	0.1125	0.178	2017-07-27	2017-02-03	2018-01-18
OGE	0.5243	0.466	2017-08-03	2017-02-10	2018-01-25
OHI	0.506	0.472	2017-07-26	2017-02-02	2018-01-17
OI	0.75	0.668	2017-07-31	2017-02-07	2018-01-22
OKE	0.332	0.43	2017-08-01	2017-02-08	2018-01-23
OLED	0.998	0.727	2017-08-03	2017-02-10	2018-01-25
OLN	0.022	0.081	2017-07-31	2017-02-07	2018-01-22
OMC	1.4021	1.379	2017-07-20	2017-01-27	2018-01-10
OMF	0.81	0.882	2017-08-02	2017-02-09	2018-01-24
ON	0.2995	0.324	2017-08-06	2017-02-13	2018-01-26
ORCL	0.7814	0.6	2016-12-15	2016-06-27	2017-06-09
ORI	0.34	0.36	2017-07-27	2017-02-03	2018-01-18
ORLY	3.0377	2.891	2017-07-26	2017-02-02	2018-01-17
OSK	1.84	0.742	2017-04-26	2016-11-01	2017-10-16
OUT	0.2803	0.225	2017-08-03	2017-02-10	2018-01-25
OXY	0.15	0.089	2017-08-02	2017-02-09	2018-01-24
OZK	0.7254	0.73	2017-07-12	2017-01-19	2018-01-02
PACW	0.7805	0.708	2017-07-18	2017-01-25	2018-01-08
PAG	1.23	1.207	2017-07-27	2017-02-03	2018-01-18
PAH	0.2	0.187	2017-08-09	2017-02-16	2018-01-31
PANW	-0.2458	0.623	2017-02-28	2016-09-06	2017-08-18
PAYC	0.2418	0.202	2017-08-01	2017-02-08	2018-01-23
PAYX	0.54	0.555	2016-12-21	2016-07-01	2017-06-15
PBCT	0.244	0.228	2017-07-20	2017-01-27	2018-01-10
PBF	-0.06	0.016	2017-08-03	2017-02-10	2018-01-25
PCAR	1.0576	0.987	2017-07-25	2017-02-01	2018-01-16
PCG	0.86	0.781	2017-07-27	2017-02-03	2018-01-18
PE	0.05	0.103	2017-08-02	2017-02-09	2018-01-24
PEG	0.62	0.582	2017-07-28	2017-02-06	2018-01-19
PEGA	0.1375	0.17	2017-08-09	2017-02-16	2018-01-31
PEN	-0.0469	-0.026	2017-08-08	2017-02-15	2018-01-30
PEP	1.5	1.397	2017-07-11	2017-01-18	2017-12-29
PFE	0.67	0.657	2017-08-01	2017-02-08	2018-01-23
PFG	1.31	1.224	2017-07-27	2017-02-03	2018-01-18
PFPT	-0.59	0.123	2017-07-27	2017-02-03	2018-01-18
PG	0.85	1.062	2017-01-20	2016-07-29	2017-07-13
PGR	0.593	0.592	2017-07-18	2017-01-25	2018-01-08
PGRE	-0.1318	-0.006	2017-08-03	2017-02-10	2018-01-25
PH	2.45	1.39	2017-02-02	2016-08-11	2017-07-26
PHM	0.47	0.448	2017-07-25	2017-02-01	2018-01-16
PII	1.16	1.078	2017-07-20	2017-01-27	2018-01-10
PINC	-6.0346	0.441	2017-02-06	2016-08-15	2017-07-28
PK	0.52	0.406	2017-08-02	2017-02-09	2018-01-24
PKG	1.52	1.473	2017-07-26	2017-02-02	2018-01-17
PKI	0.67	0.669	2017-08-03	2017-02-10	2018-01-25
PLD	0.5	0.426	2017-07-18	2017-01-25	2018-01-08
PM	1.14	1.228	2017-07-20	2017-01-27	2018-01-10
PNC	2.1	2.016	2017-07-14	2017-01-23	2018-01-04
PNFP	0.8393	0.8	2017-07-18	2017-01-25	2018-01-08
PNR	1	0.997	2017-07-25	2017-02-01	2018-01-16
PNW	1.4904	1.173	2017-08-03	2017-02-10	2018-01-25
PODD	-0.134	-0.127	2017-08-03	2017-02-10	2018-01-25
POOL	2.2078	2.239	2017-07-20	2017-01-27	2018-01-10
POST	0.63	0.579	2017-05-08	2016-11-11	2017-10-26
PPC	0.93	0.833	2017-08-02	2017-02-09	2018-01-24
PPL	0.52	0.495	2017-08-03	2017-02-10	2018-01-25
PRAH	0.79	0.742	2017-08-07	2017-02-14	2018-01-29
PRGO	1.22	0.922	2017-08-10	2017-02-17	2018-02-01
PRU	2.09	2.703	2017-08-02	2017-02-09	2018-01-24
PSA	1.59	1.8	2017-07-26	2017-02-02	2018-01-17
PSTG	-0.2949	-0.232	2016-08-25	2016-03-07	2017-02-16
PSX	1.09	1.009	2017-08-01	2017-02-08	2018-01-23
PTC	0.0036	0.283	2017-04-19	2016-10-25	2017-10-09
PTEN	-0.1992	-0.297	2017-07-27	2017-02-03	2018-01-18
PVH	1.69	1.288	2016-08-24	2016-03-04	2017-02-15
PWR	0.4319	0.532	2017-08-03	2017-02-10	2018-01-25
PXD	0.21	0.116	2017-08-01	2017-02-08	2018-01-23
PYPL	0.3383	0.427	2017-07-26	2017-02-02	2018-01-17
QCOM	0.6677	1.185	2017-04-19	2016-10-25	2017-10-09
QGEN	0.25	0.287	2017-07-27	2017-02-03	2018-01-18
QRVO	-0.196	1.407	2016-11-03	2016-05-16	2017-04-28
R	1	0.95	2017-07-26	2017-02-02	2018-01-17
RBC	1.29	1.281	2017-08-07	2017-02-14	2018-01-29
RCL	1.71	1.666	2017-08-01	2017-02-08	2018-01-23
RE	5.51	5.236	2017-07-24	2017-01-31	2018-01-12
REG	0.331	0.39	2017-08-03	2017-02-10	2018-01-25
REGN	3.5071	3.168	2017-08-03	2017-02-10	2018-01-25
RES	0.1903	0.13	2017-07-26	2017-02-02	2018-01-17
RF	0.25	0.24	2017-07-21	2017-01-30	2018-01-11
RGA	2.95	2.478	2017-07-27	2017-02-03	2018-01-18
RGLD	0.31	0.355	2017-02-01	2016-08-10	2017-07-25
RHI	0.642	0.659	2017-07-25	2017-02-01	2018-01-16
RHT	0.4052	0.539	2016-09-21	2016-04-01	2017-03-15
RIG	-0.0997	-0.088	2017-08-02	2017-02-09	2018-01-24
RJF	1.26	1.136	2017-04-26	2016-11-01	2017-10-16
RL	1.11	1.714	2016-11-10	2016-05-23	2017-05-05
RLGY	0.766	0.745	2017-08-03	2017-02-10	2018-01-25
RMD	0.77	0.684	2017-01-23	2016-08-01	2017-07-14
RNG	-0.0961	0.03	2017-08-02	2017-02-09	2018-01-24
RNR	2.79	2.354	2017-07-25	2017-02-01	2018-01-16
ROK	1.76	1.402	2017-04-26	2016-11-01	2017-10-16
ROL	0.164	0.245	2017-07-26	2017-02-02	2018-01-17
ROP	2.24	2.218	2017-07-31	2017-02-07	2018-01-22
ROST	0.821	0.674	2016-08-18	2016-02-29	2017-02-09
RP	0.1123	0.222	2017-08-02	2017-02-09	2018-01-24
RPAI	-0.018	0.04	2017-08-01	2017-02-08	2018-01-23
RPM	1.02	0.605	2017-01-05	2016-07-15	2017-06-28
RRC	0.0109	0.079	2017-08-01	2017-02-08	2018-01-23
RS	1.4	1.369	2017-07-27	2017-02-03	2018-01-18
RSG	0.61	0.598	2017-07-27	2017-02-03	2018-01-18
RTN	1.8938	1.756	2017-07-27	2017-02-03	2018-01-18
RYN	0.2	0.105	2017-08-02	2017-02-09	2018-01-24
S	0.0207	-0.082	2016-10-25	2016-05-05	2017-04-19
SABR	0.2612	0.351	2017-08-01	2017-02-08	2018-01-23
SAGE	-1.88	-1.637	2017-08-03	2017-02-10	2018-01-25
SATS	0.0681	0.095	2017-08-09	2017-02-16	2018-01-31
SBAC	0.1413	0.195	2017-07-31	2017-02-07	2018-01-22
SBNY	2.21	2.214	2017-07-19	2017-01-26	2018-01-09
SBUX	0.55	0.448	2017-04-27	2016-11-02	2017-10-17
SC	0.7356	0.605	2017-07-28	2017-02-06	2018-01-19
SCCO	0.3877	0.417	2017-07-27	2017-02-03	2018-01-18
SCG	0.8467	0.743	2017-08-03	2017-02-10	2018-01-25
SCHW	0.3886	0.388	2017-07-18	2017-01-25	2018-01-08
SCI	0.35	0.303	2017-07-26	2017-02-02	2018-01-17
SEE	0.35	0.356	2017-08-08	2017-02-15	2018-01-30
SEIC	0.5673	0.552	2017-07-26	2017-02-02	2018-01-17
SERV	0.69	0.683	2017-07-31	2017-02-07	2018-01-22
SFM	0.2951	0.25	2017-08-03	2017-02-10	2018-01-25
SGEN	-0.39	-0.407	2017-07-27	2017-02-03	2018-01-18
SHW	4.52	4.638	2017-07-20	2017-01-27	2018-01-10
SIRI	0.0427	0.042	2017-07-27	2017-02-03	2018-01-18
SIVB	2.1843	2.025	2017-07-27	2017-02-03	2018-01-18
SIX	0.5857	0.716	2017-07-26	2017-02-02	2018-01-17
SJM	1.51	1.927	2016-11-17	2016-05-31	2017-05-12
SKX	0.3812	0.441	2017-07-20	2017-01-27	2018-01-10
SLB	0.35	0.298	2017-07-21	2017-01-30	2018-01-11
SLG	0.1202	0.545	2017-07-19	2017-01-26	2018-01-09
SLGN	0.35	0.352	2017-07-26	2017-02-02	2018-01-17
SLM	0.16	0.164	2017-07-19	2017-01-26	2018-01-09
SM	-0.32	-0.292	2017-08-03	2017-02-10	2018-01-25
SMG	2.63	2.904	2017-05-02	2016-11-07	2017-10-20
SNA	2.5966	2.556	2017-07-20	2017-01-27	2018-01-10
SNH	0.1338	0.148	2017-08-03	2017-02-10	2018-01-25
SNPS	0.7853	0.858	2017-05-17	2016-11-22	2017-11-06
SNV	0.597	0.591	2017-07-18	2017-01-25	2018-01-08
SO	0.73	0.709	2017-08-02	2017-02-09	2018-01-24
SON	0.71	0.701	2017-07-20	2017-01-27	2018-01-10
SPG	1.6228	1.13	2017-08-01	2017-02-08	2018-01-23
SPGI	1.72	1.576	2017-07-27	2017-02-03	2018-01-18
SPLK	-0.6004	0.034	2016-08-25	2016-03-07	2017-02-16
SPR	1.57	1.196	2017-08-02	2017-02-09	2018-01-24
SQ	-0.0424	0.05	2017-08-02	2017-02-09	2018-01-24
SRC	0.0716	0.069	2017-08-03	2017-02-10	2018-01-25
SRCL	1.15	1.128	2017-08-03	2017-02-10	2018-01-25
SRE	1.1	0.859	2017-08-04	2017-02-13	2018-01-26
SSNC	0.2577	0.462	2017-07-27	2017-02-03	2018-01-18
ST	0.81	0.784	2017-07-25	2017-02-01	2018-01-16
STAY	0.31	0.308	2017-08-01	2017-02-08	2018-01-23
STE	0.85	0.897	2016-11-02	2016-05-13	2017-04-27
STI	1.03	0.987	2017-07-21	2017-01-30	2018-01-11
STL	0.33	0.33	2017-07-25	2017-02-01	2018-01-16
STLD	0.63	0.63	2017-07-19	2017-01-26	2018-01-09
STOR	0.2046	0.198	2017-08-03	2017-02-10	2018-01-25
STT	1.67	1.572	2017-07-26	2017-02-02	2018-01-17
STWD	0.52	0.509	2017-08-09	2017-02-16	2018-01-31
STZ	2.34	1.655	2016-10-05	2016-04-15	2017-03-29
SUI	0.1684	0.16	2017-07-26	2017-02-02	2018-01-17
SWK	2.01	1.964	2017-07-24	2017-01-31	2018-01-12
SWKS	1.3215	1.401	2017-04-27	2016-11-02	2017-10-17
SYF	0.61	0.572	2017-07-21	2017-01-30	2018-01-11
SYK	1.53	1.509	2017-07-27	2017-02-03	2018-01-18
SYMC	-0.0099	0.201	2016-11-03	2016-05-16	2017-04-28
SYY	0.72	0.542	2017-02-06	2016-08-15	2017-07-28
T	0.79	0.736	2017-07-25	2017-02-01	2018-01-16
TAP	2.1868	2.117	2017-08-02	2017-02-09	2018-01-24
TCBI	0.9687	0.948	2017-07-19	2017-01-26	2018-01-09
TCF	0.3292	0.299	2017-07-24	2017-01-31	2018-01-12
TCO	0.2278	0.178	2017-07-27	2017-02-03	2018-01-18
TDC	0.0195	0.279	2017-07-27	2017-02-03	2018-01-18
TDG	3.2504	3.005	2017-05-09	2016-11-14	2017-10-27
TDS	0.1125	0.22	2017-08-04	2017-02-13	2018-01-26
TDY	1.74	1.26	2017-08-03	2017-02-10	2018-01-25
TEAM	-0.0916	0.081	2017-01-19	2016-07-28	2017-07-12
TECH	0.7874	0.841	2017-02-07	2016-08-16	2017-07-31
TER	0.9	0.864	2017-07-26	2017-02-02	2018-01-17
TEX	0.51	0.427	2017-08-01	2017-02-08	2018-01-23
TFSL	0.08	0.07	2017-04-28	2016-11-03	2017-10-18
TFX	2.04	1.908	2017-08-03	2017-02-10	2018-01-25
TGT	1.23	1.132	2016-08-17	2016-02-26	2017-02-08
THG	1.69	1.563	2017-08-02	2017-02-09	2018-01-24
THO	2.262	1.216	2017-03-06	2016-09-12	2017-08-24
THS	0.51	0.486	2017-08-03	2017-02-10	2018-01-25
TIF	0.9193	0.714	2016-08-25	2016-03-07	2017-02-16
TJX	0.4265	0.409	2016-08-16	2016-02-25	2017-02-07
TKR	0.68	0.67	2017-07-26	2017-02-02	2018-01-17
TMK	1.19	1.168	2017-07-26	2017-02-02	2018-01-17
TMO	2.3	2.267	2017-07-26	2017-02-02	2018-01-17
TMUS	0.6506	0.359	2017-07-19	2017-01-26	2018-01-09
TOL	0.875	0.624	2017-05-23	2016-11-29	2017-11-10
TPR	0.5	0.742	2017-01-31	2016-08-09	2017-07-24
TPX	0.45	0.407	2017-07-27	2017-02-03	2018-01-18
TRCO	0.36	0.412	2017-08-09	2017-02-16	2018-01-31
TRGP	0.2302	-0.151	2017-08-03	2017-02-10	2018-01-25
TRIP	0.1915	0.301	2017-08-08	2017-02-15	2018-01-30
TRMB	0.2122	0.35	2017-08-02	2017-02-09	2018-01-24
TRN	0.33	0.304	2017-07-25	2017-02-01	2018-01-16
TROW	1.3371	1.296	2017-07-25	2017-02-01	2018-01-16
TRU	0.3602	0.432	2017-07-25	2017-02-01	2018-01-16
TRV	1.92	2.12	2017-07-20	2017-01-27	2018-01-10
TSCO	1.248	1.268	2017-07-26	2017-02-02	2018-01-17
TSLA	-2.0362	-1.876	2017-08-02	2017-02-09	2018-01-24
TSN	1.28	1.024	2017-05-08	2016-11-11	2017-10-26
TSRO	-2.7326	-2.489	2017-08-08	2017-02-15	2018-01-30
TSS	0.635	0.802	2017-07-25	2017-02-01	2018-01-16
TTC	0.6137	1.037	2017-05-25	2016-12-01	2017-11-14
TTWO	0.5416	0.288	2016-11-02	2016-05-13	2017-04-27
TWLO	-0.2006	-0.108	2017-08-07	2017-02-14	2018-01-29
TWO	0.5379	0.533	2017-08-07	2017-02-14	2018-01-29
TWOU	-0.2325	-0.117	2017-08-07	2017-02-14	2018-01-29
TWTR	-0.1108	0.046	2017-07-27	2017-02-03	2018-01-18
TXN	1.0929	1.012	2017-07-25	2017-02-01	2018-01-16
TXT	0.6	0.547	2017-07-19	2017-01-26	2018-01-09
TYL	0.8086	0.936	2017-07-26	2017-02-02	2018-01-17
UAA	-0.0279	-0.061	2017-08-01	2017-02-08	2018-01-23
UAL	2.75	2.719	2017-07-18	2017-01-25	2018-01-08
UBNT	0.7408	0.751	2017-02-09	2016-08-18	2017-08-02
UDR	0.0582	0.084	2017-07-26	2017-02-02	2018-01-17
UFS	0.61	0.545	2017-07-28	2017-02-06	2018-01-19
UGI	0.09	1.248	2017-05-01	2016-11-04	2017-10-19
UHAL	6.44	8.78	2016-11-09	2016-05-20	2017-05-04
UHS	1.94	2.063	2017-07-25	2017-02-01	2018-01-16
ULTA	1.838	1.397	2016-08-25	2016-03-07	2017-02-16
ULTI	0.1633	0.904	2017-08-01	2017-02-08	2018-01-23
UMPQ	0.2665	0.268	2017-07-19	2017-01-26	2018-01-09
UNH	2.46	2.379	2017-07-18	2017-01-25	2018-01-08
UNIT	-0.11	-0.028	2017-08-03	2017-02-10	2018-01-25
UNM	1.05	1.011	2017-07-27	2017-02-03	2018-01-18
UNP	1.447	1.393	2017-07-20	2017-01-27	2018-01-10
UNVR	0.3094	0.316	2017-08-04	2017-02-13	2018-01-26
UPS	1.5799	1.468	2017-07-27	2017-02-03	2018-01-18
URBN	0.4513	0.553	2016-08-16	2016-02-25	2017-02-07
URI	2.37	2.319	2017-07-19	2017-01-26	2018-01-09
USB	0.85	0.844	2017-07-19	2017-01-26	2018-01-09
USFD	0.37	0.363	2017-08-09	2017-02-16	2018-01-31
USG	0.44	0.514	2017-07-26	2017-02-02	2018-01-17
USM	0.1622	0.15	2017-08-04	2017-02-13	2018-01-26
UTHR	2.4237	3.793	2017-07-27	2017-02-03	2018-01-18
UTX	1.85	1.777	2017-07-25	2017-02-01	2018-01-16
V	0.86	0.79	2017-04-20	2016-10-26	2017-10-10
VAR	1.04	0.896	2017-04-26	2016-11-01	2017-10-16
