Ticket	adjusted eps	Bloomberg Estimated EPS	Announcement Date	start_date	end_date
BAC	0.4811	0.433	2017-07-18	2017-01-25	2018-01-08
BAH	0.53	0.426	2016-11-02	2016-05-13	2017-04-27
BAX	0.63	0.567	2017-07-26	2017-02-02	2018-01-17
BBT	0.78	0.768	2017-07-20	2017-01-27	2018-01-10
BBY	0.69	0.428	2016-08-23	2016-03-03	2017-02-14
BC	1.3479	1.334	2017-07-27	2017-02-03	2018-01-18
BDN	0.02	0.016	2017-07-20	2017-01-27	2018-01-10
BDX	2.46	2.233	2017-05-02	2016-11-07	2017-10-20
BEN	0.73	0.672	2017-04-28	2016-11-03	2017-10-18
BERY	0.93	0.651	2017-05-03	2016-11-08	2017-10-23
BFAM	0.5681	0.717	2017-08-01	2017-02-08	2018-01-23
BG	0.17	0.131	2017-08-02	2017-02-09	2018-01-24
BGCP	0.24	0.24	2017-07-26	2017-02-02	2018-01-17
BHGE	-0.11	-0.111	2017-07-28	2017-02-06	2018-01-19
BIIB	4.4985	4.402	2017-07-25	2017-02-01	2018-01-16
BIO	0.3888	0.56	2017-08-03	2017-02-10	2018-01-25
BK	0.9301	0.843	2017-07-20	2017-01-27	2018-01-10
BKNG	15.14	14.193	2017-08-08	2017-02-15	2018-01-30
BKU	0.6023	0.56	2017-07-26	2017-02-02	2018-01-17
BLK	5.24	5.382	2017-07-17	2017-01-24	2018-01-05
BLL	0.53	0.549	2017-08-03	2017-02-10	2018-01-25
BLUE	-1.73	-1.646	2017-08-02	2017-02-09	2018-01-24
BMRN	-0.001	0.049	2017-08-02	2017-02-09	2018-01-24
BMS	0.48	0.553	2017-07-27	2017-02-03	2018-01-18
BMY	0.74	0.737	2017-07-27	2017-02-03	2018-01-18
BOH	1.0476	1.028	2017-07-24	2017-01-31	2018-01-12
BOKF	1.3604	1.3	2017-07-26	2017-02-02	2018-01-17
BPOP	0.94	0.915	2017-07-26	2017-02-02	2018-01-17
BR	1.71	0.377	2017-02-08	2016-08-17	2017-08-01
BRKR	0.23	0.203	2017-08-03	2017-02-10	2018-01-25
BRO	0.245	0.238	2017-07-17	2017-01-24	2018-01-05
BRX	0.2388	0.208	2017-07-31	2017-02-07	2018-01-22
BSX	0.32	0.311	2017-07-27	2017-02-03	2018-01-18
BURL	0.72	0.296	2016-08-25	2016-03-07	2017-02-16
BWA	0.96	0.893	2017-07-27	2017-02-03	2018-01-18
BWXT	0.56	0.474	2017-08-07	2017-02-14	2018-01-29
BXP	0.749	0.774	2017-08-01	2017-02-08	2018-01-23
C	1.28	1.208	2017-07-14	2017-01-23	2018-01-04
CABO	5.5447	5.456	2017-08-08	2017-02-15	2018-01-30
CACC	5.22	4.661	2017-07-31	2017-02-07	2018-01-22
CAG	0.37	0.454	2016-12-22	2016-07-05	2017-06-16
CAH	1.31	1.229	2017-02-07	2016-08-16	2017-07-31
CASY	1.4613	1.567	2016-12-07	2016-06-17	2017-06-01
CAT	1.49	1.248	2017-07-25	2017-02-01	2018-01-16
CB	2.5	2.463	2017-07-25	2017-02-01	2018-01-16
CBOE	0.6335	0.857	2017-08-04	2017-02-13	2018-01-26
CBRE	0.65	0.531	2017-07-27	2017-02-03	2018-01-18
CBS	0.97	0.957	2017-08-07	2017-02-14	2018-01-29
CBSH	0.6803	0.632	2017-07-13	2017-01-20	2018-01-03
CBT	0.81	0.854	2017-05-01	2016-11-04	2017-10-19
CC	0.87	0.849	2017-08-02	2017-02-09	2018-01-24
CCI	0.326	0.276	2017-07-19	2017-01-26	2018-01-09
CCK	1.12	1.098	2017-07-19	2017-01-26	2018-01-09
CCL	0.52	0.474	2017-06-22	2016-12-29	2017-12-12
CDEV	0.0631	0.014	2017-08-07	2017-02-14	2018-01-29
CDK	0.55	0.558	2017-02-02	2016-08-11	2017-07-26
CDNS	0.2536	0.323	2017-07-24	2017-01-31	2018-01-12
CDW	1.0994	1.028	2017-08-03	2017-02-10	2018-01-25
CE	1.79	1.756	2017-07-24	2017-01-31	2018-01-12
CELG	1.4319	1.775	2017-07-27	2017-02-03	2018-01-18
CERN	0.54	0.613	2017-07-27	2017-02-03	2018-01-18
CF	0.1	-0.04	2017-08-02	2017-02-09	2018-01-24
CFG	0.6267	0.594	2017-07-21	2017-01-30	2018-01-11
CFR	1.2845	1.286	2017-07-27	2017-02-03	2018-01-18
CFX	0.43	0.431	2017-07-28	2017-02-06	2018-01-19
CGNX	0.315	0.269	2017-07-31	2017-02-07	2018-01-22
CHD	0.41	0.388	2017-08-03	2017-02-10	2018-01-25
CHE	2.2495	1.89	2017-07-25	2017-02-01	2018-01-16
CHH	0.79	0.768	2017-08-02	2017-02-09	2018-01-24
CHRW	0.7845	0.899	2017-07-19	2017-01-26	2018-01-09
CHTR	0.52	0.768	2017-07-27	2017-02-03	2018-01-18
CI	2.91	2.477	2017-08-04	2017-02-13	2018-01-26
CIM	0.6	0.632	2017-08-02	2017-02-09	2018-01-24
CINF	0.64	0.495	2017-08-02	2017-02-09	2018-01-24
CIT	0.68	0.591	2017-07-25	2017-02-01	2018-01-16
CL	0.72	0.721	2017-07-21	2017-01-30	2018-01-11
CLGX	0.5214	0.661	2017-07-25	2017-02-01	2018-01-16
CLH	0.24	0.256	2017-08-02	2017-02-09	2018-01-24
CLR	0	-0.007	2017-08-08	2017-02-15	2018-01-30
CLX	1.5313	1.219	2017-02-03	2016-08-12	2017-07-27
CMA	1.15	1.079	2017-07-18	2017-01-25	2018-01-08
CMCSA	0.5226	0.485	2017-07-27	2017-02-03	2018-01-18
CMD	0.54	0.497	2017-03-09	2016-09-15	2017-08-29
CME	1.23	1.205	2017-08-01	2017-02-08	2018-01-23
CMG	2.32	2.177	2017-07-25	2017-02-01	2018-01-16
CMI	2.5268	2.577	2017-08-01	2017-02-08	2018-01-23
CMS	0.33	0.389	2017-07-28	2017-02-06	2018-01-19
CNA	0.88	0.756	2017-07-31	2017-02-07	2018-01-22
CNC	1.59	1.325	2017-07-25	2017-02-01	2018-01-16
CNDT	0.16	0.159	2017-08-09	2017-02-16	2018-01-31
CNK	0.4672	0.46	2017-08-04	2017-02-13	2018-01-26
CNP	0.29	0.219	2017-08-03	2017-02-10	2018-01-25
CNX	0.17	0.1	2017-08-01	2017-02-08	2018-01-23
COF	1.9648	1.898	2017-07-20	2017-01-27	2018-01-10
COG	0.1265	0.148	2017-07-27	2017-02-03	2018-01-18
COHR	2.717	2.445	2017-05-09	2016-11-14	2017-10-27
COLM	-0.1271	-0.205	2017-07-27	2017-02-03	2018-01-18
COMM	0.3521	0.646	2017-08-03	2017-02-10	2018-01-25
CONE	0.0418	0.073	2017-08-02	2017-02-09	2018-01-24
